G1,G2,G3,studytime,failures,absences,traveltime,freetime
5,6,6,2,0,6,2,3
5,5,6,2,0,4,1,3
7,8,10,2,3,10,1,3
15,14,15,3,0,2,1,2
6,10,10,2,0,4,1,3
15,15,15,2,0,10,1,4
12,12,11,2,0,0,1,4
6,5,6,2,0,6,2,1
16,18,19,2,0,0,1,2
14,15,15,2,0,0,1,5
10,8,9,2,0,0,1,3
10,12,12,3,0,4,3,2
14,14,14,1,0,2,1,3
10,10,11,2,0,2,2,4
14,16,16,3,0,0,1,5
14,14,14,1,0,4,1,4
13,14,14,3,0,6,1,2
8,10,10,2,0,4,3,3
6,5,5,1,3,16,1,5
8,10,10,1,0,4,1,1
13,14,15,2,0,0,1,4
12,15,15,1,0,0,1,4
15,15,16,2,0,2,1,5
13,13,12,2,0,0,2,4
10,9,8,3,0,2,1,3
6,9,8,1,2,14,1,2
12,12,11,1,0,2,1,2
15,16,15,1,0,4,1,2
11,11,11,2,0,4,1,3
10,12,11,2,0,16,1,4
9,11,12,2,0,0,1,4
17,16,17,2,0,0,2,3
17,16,16,2,0,0,1,5
8,10,12,2,0,0,1,3
12,14,15,1,0,0,1,4
8,7,6,1,0,0,2,5
15,16,18,3,0,2,1,4
15,16,15,3,0,7,2,4
12,12,11,3,0,2,1,3
14,13,13,1,0,8,1,3
7,10,11,2,1,25,2,3
12,12,12,1,0,8,1,4
19,18,18,2,0,2,1,3
8,8,11,1,0,0,1,4
10,10,9,2,1,14,2,3
8,8,6,2,0,8,1,2
11,12,11,2,0,12,1,3
19,19,20,4,0,4,1,2
15,15,14,2,0,2,1,3
7,7,7,2,1,2,1,4
12,13,13,2,0,2,3,3
11,13,13,2,0,2,1,3
11,11,10,1,1,6,2,5
8,10,11,1,0,0,1,3
10,13,13,1,0,6,1,3
8,9,10,2,0,8,1,3
14,15,15,2,0,0,1,3
14,15,15,2,0,4,1,2
9,10,9,2,0,2,1,3
15,16,16,2,0,2,1,2
10,11,11,2,0,6,1,4
10,8,11,1,0,6,4,5
8,10,9,2,0,4,1,4
10,9,9,3,0,2,1,4
10,10,10,2,0,0,1,4
16,15,15,2,0,2,3,4
13,13,12,4,0,4,1,3
7,7,6,4,0,4,1,3
8,9,8,2,0,2,2,1
16,16,16,4,0,12,2,4
13,15,15,4,0,0,2,3
10,10,10,4,0,0,1,3
8,6,5,2,2,2,1,3
12,12,14,1,0,2,1,3
11,12,11,2,0,54,1,3
9,9,10,2,0,6,1,3
11,11,10,4,0,8,2,4
11,11,11,4,0,0,1,2
8,8,10,1,3,2,2,5
5,5,5,2,0,12,1,4
10,12,12,1,0,2,1,2
11,10,11,3,0,4,1,3
7,6,6,2,0,10,1,4
15,15,15,2,0,4,2,3
9,10,10,2,0,2,1,3
7,9,8,2,2,6,2,4
8,7,6,2,0,4,1,3
13,14,14,3,0,4,1,3
11,10,10,2,1,12,2,4
8,6,7,2,0,18,1,1
7,7,8,3,0,0,1,3
16,17,18,1,0,4,1,5
7,6,6,2,0,4,1,3
11,10,10,2,0,0,2,3
11,13,14,4,0,6,1,3
7,10,10,4,1,2,2,1
11,15,15,1,0,2,2,3
8,9,10,2,0,2,1,3
11,14,14,1,0,6,1,3
7,9,8,3,0,0,1,3
7,7,5,1,0,14,1,5
16,17,17,3,0,0,1,4
10,13,14,1,0,4,1,3
7,6,6,2,0,26,2,3
16,18,18,2,0,0,1,4
10,11,11,4,0,10,1,3
7,8,8,4,0,8,1,1
16,18,18,3,0,2,1,3
10,13,13,4,0,6,4,3
14,15,16,3,0,4,1,4
18,19,19,1,0,6,1,5
7,10,10,3,1,0,1,1
10,13,13,2,1,6,1,1
18,19,19,1,0,10,1,5
9,9,9,2,0,8,1,4
15,15,16,2,0,2,1,4
11,13,14,2,0,2,2,4
13,14,13,1,0,0,2,4
9,7,8,2,1,20,3,2
14,13,13,1,0,6,1,4
16,15,15,2,0,2,1,2
16,14,15,4,0,6,1,5
13,13,13,2,0,2,2,2
14,11,13,1,0,18,1,4
8,7,8,2,0,0,1,4
13,13,12,1,0,0,1,5
7,10,11,2,0,0,1,3
7,8,9,2,3,2,1,4
7,4,0,1,2,0,1,3
18,18,18,1,0,8,1,5
12,0,0,3,2,0,2,2
8,0,0,1,0,0,3,3
10,13,12,1,0,12,1,4
12,11,11,1,0,16,1,2
9,0,0,2,0,0,4,3
11,0,0,3,0,0,1,3
10,0,0,2,0,0,3,4
4,0,0,1,2,0,2,3
14,12,12,2,1,0,1,4
16,16,15,1,0,0,2,3
7,9,0,4,0,0,2,2
9,9,9,1,2,8,2,3
9,11,11,3,0,2,1,2
14,14,13,1,0,2,1,4
5,0,0,1,3,0,1,4
8,11,11,2,0,0,1,4
6,7,0,2,3,0,1,3
10,11,11,2,0,2,1,3
7,6,0,1,0,0,1,3
8,9,10,1,3,0,4,5
6,5,0,1,3,0,1,3
12,13,14,1,1,6,1,4
10,10,10,3,2,8,2,2
5,0,0,1,3,0,1,5
11,11,12,1,0,0,1,2
11,8,8,2,0,2,1,4
16,12,13,1,0,8,1,2
9,8,10,1,3,6,3,2
17,15,15,1,0,2,3,2
10,12,12,2,1,4,1,5
7,6,0,1,2,0,2,3
5,9,7,2,2,6,2,4
7,0,0,1,1,0,2,4
10,10,10,1,0,2,1,3
5,8,7,2,3,0,4,3
12,11,12,1,1,16,2,5
10,10,10,2,0,4,1,3
14,15,16,2,0,0,1,2
6,7,0,2,0,0,1,1
14,14,14,2,0,0,1,4
6,5,0,1,2,0,3,4
13,15,16,2,0,2,2,3
13,11,10,2,0,0,1,4
8,7,0,2,3,0,1,3
10,11,9,2,0,4,2,4
10,9,9,2,0,4,2,4
13,13,11,2,0,2,2,4
6,5,6,2,0,4,1,3
10,8,9,1,0,10,1,3
10,10,11,2,0,4,1,2
9,8,8,2,0,10,1,4
12,13,12,2,0,2,1,2
16,17,17,2,0,0,1,4
9,9,8,2,0,56,1,3
12,13,12,2,0,14,1,2
12,12,11,2,0,12,1,3
11,12,11,1,0,2,1,3
15,15,15,2,0,0,1,2
8,7,9,2,0,6,1,3
8,9,10,2,0,4,1,1
11,12,13,2,0,10,1,3
8,8,9,2,0,0,1,3
7,8,8,2,0,12,2,4
8,9,10,1,0,8,1,3
13,14,14,1,0,0,2,3
14,15,15,2,0,0,1,3
17,15,16,1,0,4,1,2
9,9,10,1,0,8,3,3
18,18,18,1,1,24,2,2
9,9,10,2,0,0,1,5
16,16,16,2,0,2,1,3
8,10,10,2,0,6,1,4
9,9,10,2,0,4,1,4
7,6,6,1,0,18,1,3
10,10,11,4,0,6,2,3
10,9,9,3,1,28,1,4
7,7,7,2,3,5,1,3
11,12,13,2,0,10,1,3
9,9,10,1,0,6,2,3
7,7,7,3,0,6,2,4
8,8,8,4,0,10,1,3
12,12,13,2,0,13,1,3
12,13,14,2,0,0,1,3
6,7,8,2,1,15,1,4
8,10,10,1,0,12,1,2
14,15,15,2,0,2,2,4
6,6,4,2,2,22,1,4
6,6,8,2,1,13,1,2
7,7,8,1,0,3,2,3
9,10,10,3,0,4,1,3
6,6,6,2,0,2,2,2
6,5,0,3,1,0,1,3
16,16,17,2,0,2,1,3
12,13,13,2,0,0,2,3
13,13,14,3,0,0,1,3
9,8,7,2,1,16,1,3
16,15,15,2,0,10,1,3
12,11,12,2,0,2,1,3
10,8,9,2,0,14,4,3
12,10,12,3,0,10,2,2
13,13,14,2,0,14,1,2
11,11,11,2,0,4,2,5
11,9,9,2,0,14,1,5
14,13,13,2,0,2,1,2
9,7,6,2,0,18,2,4
11,9,10,3,0,10,2,3
14,13,13,2,0,4,1,4
13,12,12,1,0,20,1,5
13,11,11,2,0,2,3,1
7,7,0,2,1,0,1,5
12,12,12,2,0,14,2,5
10,11,12,2,0,2,2,3
6,0,0,1,0,0,1,4
13,12,12,1,0,0,1,3
7,0,0,3,0,0,2,4
18,18,18,1,0,6,3,3
12,12,13,1,0,4,2,2
6,8,8,1,3,16,1,4
3,5,5,2,1,8,1,3
13,15,15,1,0,0,1,3
6,8,8,1,1,0,2,4
7,10,10,2,0,6,3,3
6,9,8,1,1,4,1,2
8,9,8,1,0,0,2,3
8,12,12,1,0,0,1,4
7,9,8,1,1,2,2,4
14,12,13,4,0,6,1,2
11,11,11,2,0,12,1,3
15,14,14,2,0,8,1,2
10,9,0,4,0,0,1,4
17,18,18,2,0,21,1,1
8,8,8,2,0,2,1,3
13,12,12,3,0,1,1,3
10,9,9,3,0,4,1,2
9,10,0,3,0,0,1,3
17,17,17,2,0,13,2,2
9,9,10,2,0,2,1,4
12,10,11,2,0,8,2,3
10,9,10,2,0,10,1,4
6,0,0,2,0,0,2,3
9,9,9,2,2,15,1,3
15,14,14,4,0,4,1,5
11,11,11,2,0,2,2,4
15,14,14,2,0,2,1,5
10,10,10,2,0,2,2,3
12,12,12,2,0,6,2,4
10,9,9,2,0,75,2,1
9,9,9,1,0,22,2,2
9,8,8,2,1,15,1,4
10,11,10,1,0,8,2,2
8,8,8,1,0,30,2,5
11,9,10,1,1,19,1,4
12,12,12,4,0,1,2,2
8,9,10,2,0,4,2,4
10,9,11,2,0,4,1,4
12,10,11,2,0,2,1,3
18,18,19,3,0,5,1,3
13,12,12,3,0,6,1,3
15,14,14,3,0,6,1,2
15,13,15,2,0,9,1,4
12,11,11,2,0,11,1,3
15,15,15,3,0,0,1,2
12,12,13,2,1,12,1,4
18,18,18,4,0,6,2,1
14,13,14,3,0,8,2,4
14,12,11,1,0,4,1,4
10,9,0,2,0,0,2,3
10,8,8,2,0,10,2,4
14,13,14,4,0,0,1,3
16,15,16,1,0,5,1,4
12,10,11,2,0,14,1,2
11,11,10,1,0,0,2,1
15,12,14,3,0,0,2,3
17,17,18,4,0,0,1,2
15,14,13,2,1,20,1,4
14,12,12,2,1,8,1,4
17,18,18,1,0,0,1,5
8,9,8,1,1,38,2,3
15,12,12,2,1,0,1,5
12,10,10,2,1,18,1,4
9,9,0,2,1,0,1,2
14,12,13,2,0,20,3,4
13,11,11,2,1,3,1,5
13,10,11,2,1,22,2,2
15,13,13,3,2,14,1,1
13,11,11,3,1,40,1,1
8,8,0,2,0,0,2,3
9,10,9,3,0,9,1,3
11,11,10,3,0,0,1,3
11,11,11,2,0,2,1,4
13,13,13,2,0,23,1,2
11,9,9,2,0,12,1,2
11,11,11,3,0,3,1,3
12,14,15,3,0,1,1,4
16,15,15,3,0,0,2,3
9,12,11,3,0,3,1,3
14,15,16,1,0,3,1,3
11,10,10,1,0,8,4,4
10,9,9,3,0,7,1,4
14,14,14,3,0,4,2,3
9,8,8,4,0,2,1,5
12,14,14,3,0,7,1,4
7,0,0,2,0,0,1,3
8,8,0,2,0,0,1,3
10,9,0,4,0,0,2,4
16,15,15,3,0,16,1,4
14,13,13,3,1,12,1,4
7,8,0,2,0,0,1,3
16,15,17,4,0,7,1,3
9,10,10,2,0,4,1,3
11,12,11,3,1,4,1,3
10,10,0,2,1,0,1,3
16,15,15,2,0,11,1,3
9,8,0,2,1,0,1,3
11,10,10,3,0,4,1,3
13,13,14,3,0,7,1,4
16,15,16,3,0,9,1,3
10,10,9,3,0,0,1,4
13,15,15,3,0,0,1,4
11,13,13,1,1,10,2,5
8,7,8,2,3,8,3,4
13,13,13,2,0,2,2,5
8,7,8,1,1,7,1,3
8,8,8,1,1,4,3,4
13,11,11,2,0,4,2,5
10,9,9,2,0,0,1,3
12,13,13,2,0,4,2,3
12,12,11,2,0,2,2,2
10,10,10,1,0,4,2,3
18,16,16,3,0,0,2,3
13,13,13,2,0,0,3,3
13,12,12,2,1,2,2,4
11,11,10,2,0,0,2,3
16,15,15,2,0,0,1,3
12,11,12,2,0,0,2,2
10,10,10,2,0,4,2,3
13,13,13,3,0,0,2,2
7,6,0,1,1,0,3,2
11,10,10,1,0,0,2,2
14,12,11,2,0,10,3,2
7,7,9,2,2,4,2,2
14,12,12,1,0,3,3,3
13,11,11,3,0,8,1,4
6,5,5,1,0,14,1,5
19,18,19,3,0,0,2,4
8,8,10,3,0,2,4,3
15,14,15,3,2,4,2,4
8,9,10,2,0,4,1,4
15,15,15,2,0,0,1,1
10,10,10,2,0,17,1,5
15,14,14,2,0,4,1,2
7,6,7,1,0,5,2,4
11,11,10,2,0,2,2,4
6,5,0,1,1,0,2,3
6,5,5,1,1,14,2,4
10,9,10,3,0,2,2,3
6,5,6,1,0,7,3,4
7,5,0,3,1,0,1,4
7,9,8,2,0,0,1,3
6,5,0,2,1,0,2,1
9,9,9,2,2,11,1,5
14,16,16,1,0,3,2,4
10,8,7,1,3,3,1,5
11,12,10,1,0,0,3,4
8,9,9,1,0,5,1,2
